loss,cer
0.0051524567415205036,40.280993460414635
0.0005948656218341765,36.489081455805895
0.0006080024376934071,35.173775562018186
0.0005115156999377441,34.556710840455345
0.00038845825114281927,32.68628074932898
0.00035684213336510396,31.178792908684326
0.00021196291967882032,28.57396028845204
0.00014448422156698748,26.497130658738527
0.00010294074669389045,24.881512036994362
0.00010138167381654509,23.572972113536757
8.242082761295647e-05,22.503990347757235
8.743550532115647e-05,21.561413513046485
6.735039701584083e-05,20.75724402666865
7.051360423163422e-05,20.078227900593397
7.023216769600028e-05,19.434048415484845
7.17095795776991e-05,18.548420397902504
5.407140907587604e-05,17.816712061465914
4.0376696895159345e-05,17.151739574455014
3.521013429005315e-05,16.54065948454583
2.85496000227839e-05,15.96945594261587
2.6221631680255753e-05,15.46832448156265
2.2407221542434145e-05,14.995731381725665
2.0468613454203998e-05,14.540009493880053
1.9778248378579764e-05,14.079617761040188
1.5886379312261166e-05,13.655672502335557
1.530691846875827e-05,13.253873507071974
1.2939948985710036e-05,12.890896992962253
1.4016163011550662e-05,12.55683001584301
1.7199674472376817e-05,12.231087771799992
1.2107165235106501e-05,11.927619547743092
1.294759063383562e-05,11.638476420582453
1.0567540300209135e-05,11.370317189558007
1.1089999231887347e-05,11.115115806752847
1.079155673228972e-05,10.875959697773949
8.88957378714039e-06,10.647868556019251
8.688971082273418e-06,10.424099003136071
7.453429670155741e-06,10.21738342888088
7.571804042735525e-06,10.021678733640492
8.2651278683546e-06,9.83702002969199
7.841416028073055e-06,9.664851849420836
6.8769822826272705e-06,9.500928525447664
5.9463859811093894e-06,9.344289262860057
5.5733118256188165e-06,9.1934424438353
5.161127027832515e-06,9.048281991451569
6.415772884687473e-06,8.908588431457444
6.714948129589273e-06,8.776133458697435
5.273833954925011e-06,8.649440663266056
3.969432424282919e-06,8.529777789292778
4.709625486026938e-06,8.4134502313803
4.144475949078947e-06,8.30293299138591
4.281163892407487e-06,8.197911332558448
4.119988164255766e-06,8.097872849265928
3.2120176787454198e-06,7.999827929179822
5.471657099483358e-06,7.906481815553184
7.3849173767929945e-06,7.816896083047139
4.936586621888768e-06,7.7308618549782
4.473243660548282e-06,7.648423693683866
1.712510168344421e-05,7.550125907378863
1.1065407007144062e-05,7.436440112320868
6.48678466618201e-06,7.3287654670692195
